낚시터명,낚시터유형,소재지도로명주소,WGS84위도,WGS84경도,주요어종,이용요금,데이터기준일자
상곡낚시터,저수지,충청북도 음성군 삼성면 점골길 51,37.013504,127.450467,붕어,"30,000원",2023-04-20
삼성지낚시터,저수지,충청북도 음성군 삼성면 금일로 1064-6,37.026576,127.484692,붕어,"25,000원",2023-04-20
중부낚시터,저수지,충청북도 음성군 삼성면 용성로5번길 86-24,37.001845,127.47583,붕어,"30,000원",2023-04-20
맹동낚시터,저수지,충청북도 음성군 맹동면 군자길 1492,36.894167,127.571429,붕어,"25,000원",2023-04-20
마이제낚시터,저수지,충청북도 음성군 삼성면 덕정로65번길 102,37.027938,127.494112,붕어,"25,000원",2023-04-20
주봉낚시터,저수지,충청북도 음성군 원남면 주봉로 141,36.866529,127.675445,붕어,"30,000원",2023-04-20
사계지낚시터,저수지,충청북도 음성군 금왕읍 보습길 77,37.020711,127.551423,붕어,"30,000원",2023-04-20
내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,37.01744,127.53839,붕어,"25,000원",2023-04-20
백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,39.967806,127.603211,붕어,"30,000원",2023-04-20
극동낚시터,저수지,충청북도 음성군 감곡면 성주로 362-17,37.14878,127.64593,붕어,"30,000원",2023-04-20
복상골낚시터,평지,충청북도 음성군 감곡면 사곡길 279,37.095607,127.669018,붕어,"40,000원",2023-04-20
국사봉낚시터,평지,충청북도 제천시 봉양읍 구곡로 173-1,37.0717077,128.108623,향어+붕어+잉어,40000,2024-08-08
은성낚시공원,평지,"충청북도 제천시 봉양읍 논골로 242, (삼거리)",37.1056988,128.130098,향어+붕어+잉어,15000,2024-08-08
가마실낚시터,평지,,37.121795,128.297684,향어+붕어+잉어,(캠핑장이용)0,2024-08-08
명지낚시터,평지,충청북도 제천시 무지동길56,37.104747,128.192859,향어+붕어+잉어,30000,2024-08-08
청풍호반낚시터,기타,,36.9878972,128.1146338,향어+붕어+잉어,70000,2024-08-08
물태리낚시터,기타,,36.99213167,128.1679697,향어+붕어+잉어,70000,2024-08-08
단리낚시터,기타,,36.9822596,128.144141,향어+붕어+잉어,70000,2024-08-08
단돈낚시터,기타,,37.0394019,128.110997,향어+붕어+잉어,70000,2024-08-08
신리낚시터,기타,,36.995289,128.152191,향어+붕어+잉어,70000,2024-08-08
대류한버들낚시터,기타,충청북도 제천시 청풍면 대류리 90번지 외 27필지,36.993111,128.142743,향어+붕어+잉어,70000,2024-08-08
명암낚시터,저수지,충청북도 제천시 봉양읍 명암로 243,37.1675804,128.126267,향어+붕어+잉어,40000,2024-08-08
덕곡낚시터,기타,충청북도 제천시 한수면 봉화재11길 24-41,36.945013,128.111496,향어+붕어+잉어,70000,2024-08-08
호반낚시터,기타,충청북도 제천시 한수면 봉화재길 819-2,36.9517671,128.111061,향어+붕어+잉어,70000,2024-08-08
용곡낚시터,기타,,36.9878972,128.1146338,향어+붕어+잉어,70000,2024-08-08
실리곡낚시터,기타,,36.975227,128.172761,향어+붕어+잉어,70000,2024-08-08
후산낚시터,기타,,37.0296435,128.1225532,향어+붕어+잉어,70000,2024-08-08
오산낚시터,기타,,37.005337,128.090962,향어+붕어+잉어,70000,2024-08-08
선고낚시터,저수지,충청북도 제천시 약초로16길 65,36.890815,128.195143,향어+붕어+잉어,40000,2024-08-08
연론낚시터,기타,,36.974681,128.127429,향어+붕어+잉어,70000,2024-08-08
사계지낚시터,저수지,충청북도 음성군 금왕읍 보습길 77,37.020711,127.551423,붕어,30000,2023-04-20
주봉낚시터,저수지,충청북도 음성군 원남면 주봉로 141,36.866529,127.675445,붕어,30000,2023-04-20
마이제낚시터,저수지,충청북도 음성군 삼성면 덕정로65번길 102,37.027938,127.494112,붕어,25000,2023-04-20
맹동낚시터,저수지,충청북도 음성군 맹동면 군자길 1492,36.894167,127.571429,붕어,25000,2023-04-20
중부낚시터,저수지,충청북도 음성군 삼성면 용성로5번길 86-24,37.001845,127.47583,붕어,30000,2023-04-20
삼성지낚시터,저수지,충청북도 음성군 삼성면 금일로 1064-6,37.026576,127.484692,붕어,20000,2023-04-20
상곡낚시터,저수지,충청북도 음성군 삼성면 점골길 51,37.013504,127.450467,붕어,30000,2023-04-20
차평낚시터,저수지,충청북도 음성군 생극면 차생로 618-20,37.049326,127.622166,붕어,30000,2023-04-20
큰골낚시터,저수지,충청북도 음성군 감곡면 대학길190번길 59,37.138054,127.648323,붕어,30000,2023-04-20
오궁낚시터,저수지,충청북도 음성군 감곡면 오궁리 124-2,37.111463,127.672462,붕어,25000,2023-04-20
거일낚시터,저수지,충청북도 음성군 감곡면 거일길 156,37.108528,127.657346,붕어,30000,2023-04-20
봉낚시터,저수지,충청북도 음성군 소이면 충갑길 196,36.88901,127.74706,붕어,30000,2023-04-20
감곡낚시터,저수지,충청북도 음성군 감곡면 감노로 67-18,37.076491,127.627197,붕어,20000,2023-04-20
용대리낚시터,저수지,충청북도 음성군 삼성면 덕호로 360,37.044544,127.514314,붕어,30000,2023-04-20
제수리낚시터,저수지,충청북도 음성군 금왕읍 금일로284번길 100-4,37.010817,127.554459,붕어,30000,2023-04-20
생극낚시터,기타,충청북도 음성군 생극면 오신로 399-16,37.025839,127.623314,붕어,55000,2023-04-20
복상골낚시터,평지,충청북도 음성군 감곡면 사곡길 279,37.095607,127.669018,붕어,40000,2023-04-20
큰손낚시카페,기타,충청북도 음성군 맹동면 원중로 1434(2층),36.90955,127.541023,붕어,9000 ~ 10000/시간,2023-04-20
극동낚시터,저수지,충청북도 음성군 감곡면 성주로 362-17,37.14878,127.64593,붕어,30000,2023-04-20
힐링낚시터,기타,충청북도 음성군 맹동면 대하2가길 11(지하1층),36.908066,127.54274,붕어,5000~7000,2023-04-20
큰손낚시카페,기타,충청북도 음성군 맹동면 원중로 1434(2층),36.90955,127.541023,붕어,5000~7000,2023-04-20
복상골낚시터,평지,충청북도 음성군 감곡면 사곡길 279,37.095607,127.669018,붕어,30000,2023-04-20
생극낚시터,기타,충청북도 음성군 생극면 오신로 399-16,37.025839,127.623314,붕어,50000,2023-04-20
제수리낚시터,저수지,충청북도 음성군 금왕읍 금일로284번길 100-4,37.010817,127.554459,붕어,20000,2023-04-20
용대리낚시터,저수지,충청북도 음성군 삼성면 덕호로 360,37.044544,127.514314,붕어,20000,2023-04-20
감곡낚시터,저수지,충청북도 음성군 감곡면 감노로 67-18,37.076491,127.627197,붕어,20000,2023-04-20
봉낚시터,저수지,충청북도 음성군 소이면 충갑길 196,36.88901,127.74706,붕어,30000,2023-04-20
거일낚시터,저수지,충청북도 음성군 감곡면 거일길 156,37.108528,127.657346,붕어,30000,2023-04-20
오궁낚시터,저수지,충청북도 음성군 감곡면 오궁리 124-2,37.111463,127.672462,붕어,10000,2023-04-20
큰골낚시터,저수지,충청북도 음성군 감곡면 대학길190번길 59,37.138054,127.648323,붕어,30000,2023-04-20
차평낚시터,저수지,충청북도 음성군 생극면 차생로 618-20,37.049326,127.622166,붕어,30000,2023-04-20
상곡낚시터,저수지,충청북도 음성군 삼성면 점골길 51,37.013504,127.450467,붕어,30000,2023-04-20
양덕낚시터,저수지,충청북도 음성군 삼성면 금일로 1064-6,37.026576,127.484692,붕어,20000,2023-04-20
중부낚시터,저수지,충청북도 음성군 삼성면 용성로5번길 86-24,37.001845,127.47583,붕어,25000,2023-04-20
맹동낚시터,저수지,충청북도 음성군 맹동면 군자길 1492,36.894167,127.571429,붕어,20000,2023-04-20
마이제낚시터,저수지,충청북도 음성군 삼성면 덕정로65번길 102,37.027938,127.494112,붕어,20000,2023-04-20
주봉낚시터,저수지,충청북도 음성군 원남면 주봉로 141,36.866529,127.675445,붕어,30000,2023-04-20
사계지낚시터,저수지,충청북도 음성군 금왕읍 보습길 77,37.020711,127.551423,붕어,25000,2023-04-20
내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,37.01744,127.53839,붕어,20000,2023-04-20
백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,39.967806,127.603211,붕어,"15,000~20000",2023-04-20
형제낚시터,평지,"충청북도 진천군 문백면 문진로 88-90, 형제낚시터",,,붕어,낚시터 문의,2024-07-15
죠스실내낚시카페,기타,충청북도 충주시 연수동 국원대로 184,36.9879831,127.9286973,잉어+향어,10000,2024-07-31
남산손맛,평지,충청북도 충주시 교현동 금봉대로 346-21,36.9646455,127.9495865,붕어+잉어,30000,2024-07-31
가주,평지,충청북도 충주시 대가주2길 23,36.9324006,127.891439,붕어+잉어,30000,2024-07-31
도장골,평지,충청북도 충주시 호암동 더덕길 47,36.9441032,127.9249417,붕어+잉어,30000,2024-07-31
월상,평지,충청북도 충주시 금가면 김생로 1185,37.041286,127.866814,붕어+잉어,30000,2024-07-31
털보,평지,충청북도 충주시 금가면 장대산길 14,37.015584,127.876401,붕어+잉어,80000,2024-07-31
태고,평지,충청북도 충주시 금가면 금병길 55,37.057673,127.912283,붕어+잉어,20000,2024-07-31
화곡,저수지,충청북도 충주시 주덕읍 화곡1길 531,37.011374,127.806688,붕어+잉어,80000,2024-07-31
실로암,저수지,충청북도 충주시 주덕읍 충청대로 2350,36.963004,127.781525,붕어+잉어,30000,2024-07-31
모점,저수지,충청북도 충주시 앙성면 모점1길 128,37.156326,127.738208,붕어+잉어,60000,2024-07-31
대덕,저수지,충청북도 충주시 노은면 대덕길 119,37.058787,127.709089,붕어+잉어,70000,2024-07-31
용원,저수지,충청북도 충주시 신니면 신덕로 523,37.002766,127.709915,붕어+잉어,70000,2024-07-31
중산,저수지,충청북도 충주시 수안보면 중산길 185,36.870547,128.010504,붕어+잉어,30000,2024-07-31
종점,저수지,충청북도 충주시 동량면 지등로 2003,36.979865,128.056105,붕어+잉어,60000,2024-07-31
키다리,저수지,,36.974192,128.051902,붕어+잉어+뱀장어,60000,2024-07-31
서운,저수지,충청북도 충주시 동량면 지등로 1758,36.970944,128.049841,붕어+잉어+뱀장어,60000,2024-07-31
꽃바위,저수지,,36.977308,128.018005,붕어+잉어+뱀장어,60000,2024-07-31
입석,저수지,충청북도 충주시 중앙탑면 감노로 2301,37.026011,127.845269,붕어+잉어,70000,2024-07-31
목벌,저수지,충청북도 충주시 목벌길 111,36.967967,128.001411,붕어+잉어+뱀장어,60000,2024-07-31
명서,저수지,충청북도 충주시 산척면 정암산책길 140-1,37.058406,128.042049,붕어+잉어+뱀장어,60000,2024-07-31
하천,저수지,충청북도 충주시 동량면 하천1길 26,37.027482,128.044072,붕어+잉어+뱀장어,60000,2024-07-31
신매,저수지,충청북도 충주시 살미면 충주호수로 2707,36.919276,128.020149,붕어+잉어+뱀장어,60000,2024-07-31
제일,저수지,충청북도 충주시 살미면 내사1길 43,36.908522,128.012356,붕어+잉어+뱀장어,60000,2024-07-31
윤,저수지,충청북도 충주시 살미면 월악로 473,36.911502,128.017363,붕어+잉어+뱀장어,60000,2024-07-31
문골,저수지,충청북도 충주시 살미면 월악로 621,36.919744,128.025544,붕어+잉어+뱀장어,60000,2024-07-31
병호,저수지,충청북도 충주시 살미면 내사6길 30,36.910801,128.020763,붕어+잉어+뱀장어,60000,2024-07-31
늘푸른,저수지,충청북도 충주시 살미면 월악로 745-40,36.918487,128.034754,붕어+잉어+뱀장어,60000,2024-07-31
새마을낚시터,저수지,경상북도 경주시 내남면 내남로 393-20,35.78205433,129.1865307,붕어+잉어,"15,000원/일",2025-06-23
삼괴정낚시터,저수지,경상북도 경주시 강동면 다산길 117,36.04980649,129.2594352,붕어+잉어,"30,000원/일",2025-06-23
동산낚시터,저수지,경상북도 경주시 천북면 천강로 123-5,35.90181187,129.275109,붕어+잉어,"30,000원/일",2025-06-23
덕방낚시터,저수지,경상북도 경주시 외동읍 덕방지길 19-38,35.70590206,129.297816,붕어+잉어,"20,000원/일",2025-06-23
인동낚시터,저수지,경상북도 경주시 강동면 인좌안길 6-1,35.98661005,129.2624603,붕어+잉어,"10,000원/일",2025-06-23
광지낚시터(현재 휴업 중),저수지,경상북도 경주시 건천읍 천포방내길 98-9,35.83813866,129.0986789,붕어+잉어,"25,000원/일",2025-06-23
구봉낚시터,저수지,경상북도 칠곡군 지천면 낙산로5길 144-55,35.94234,128.511751,잉어+붕어,"30,000원",2020-06-24
호암지낚시터,저수지,경상북도 칠곡군 약목면 남계리 1046,36.024887,128.355128,잉어+붕어,"10,000원",2020-06-24
도속지낚시터,저수지,경상북도 칠곡군 북삼읍 오평리 1381,36.055072,128.368072,잉어+붕어,"10,000원",2020-06-24
천평지낚시터,저수지,경상북도 칠곡군 가산면 금화리 36외 25필지,36.076021,128.549696,잉어+붕어,"25,000원",2020-06-24
봇또랑낚시터,기타,"경상북도 칠곡군 북삼읍 율리 549-5,551-2,551-3,553-5,549-5",36.054527,128.340378,잉어+붕어+송어,"10,000원",2020-06-24
이천낚시터,평지,경상북도 상주시 외서면 이천2길83,36.47767421,128.1395139,잉어,"10,000원",2023-05-02
아포사계절낚시터,저수지,경상북도 김천시 아포읍 제석리 1431-7,36.1464838,128.2202,잉어,10000,2025-06-30
아포과수원낚시터,평지,경상북도 김천시 아포읍 국사리 155-1,36.1582056,128.2494965,잉어,10000,2025-06-30
배시네낚시터,평지,경상북도 김천시 아포읍 의리 121-1,36.1888737,128.2321408,잉어,10000,2025-06-30
복강유료낚시터,저수지,경상북도 김천시 대항면 복전리 188-2,36.131298,128.0231607,잉어,10000,2025-06-30
강태공낚시터,기타,경상북도 칠곡군 왜관읍 애국동산로 150,36.004523,128.411958,"붕어,잉어",,2021-10-27
신동지낚시터,저수지,경상북도 구미시 인동가산로 590,36.09708,128.4749,붕어+잉어,(일반) 13000원 + (고등학생이하 및 여성) 10000원,2022-11-28
물만난고기,기타,경상북도 구미시 인동중앙로 42,36.10867,128.4229,메기+송어,"10,000원/일",2022-11-28
역돔낚시터,평지,경상북도 문경시 문경읍 새재로 623,36.55211,128.232232,틸리피아,30000,2024-02-01
돌다리낚시터,평지,경상북도 문경시 마성면 은성길 173,36.540228,128.232232,잉어 외,25000,2024-02-01
우지낚시터,평지,경상북도 문경시 갈밭길 7-13,36.540228,128.232232,메기,20000,2024-02-01
두메낚시터,계곡,경상북도 경산시 남천면 신방길 39,35.760534,128.777194,메기+붕어+잉어,"15,000원",2024-11-21
OK낚시터,저수지,경상북도 경주시 대추밭안길 18-7(조양동),35.7788,129.2764,붕어+잉어,"10,000원/일",2025-06-23
평사낚시터,저수지,경상북도 경산시 진량읍 평사리 42-2,35.885503,128.871725,잉어+향어,"20,000원",2024-11-21
삼사낚시터,평지,경상북도 영천시 고경면 추곡길 215-12,35.98685782,129.0239398,붕어+잉어,"10,000원",2023-12-07
개나리,기타,경상북도 고령군 대가야읍 정정골길 67-39,35.741599,128.257505,"붕어류,잉어류","20,000원",2024-07-16
다산나정,기타,경상북도 고령군 다산면 나선로 312-27,35.83044575,128.3995484,"붕어류,잉어류","10,000원",2024-07-16
명포낚시터,평지,경상북도 성주군 선남면 명포리 15,35.882386,128.331951,붕어,"평일 10,000, 주말 15,000",2024-07-31
장기낚시터,기타,경상북도 안동시 북후면 북평로 697-16,36.66993336,128.7024188,"붕어, 잉어, 메기","1일 20,000원",2024-07-31
선어대낚시터,기타,경상북도 안동시 남선면 기느리길 252,36.54445316,128.773899,"붕어, 잉어, 메기","1일 10,000원",2024-07-31
지동낚시터,기타,경상북도 안동시 임동면 고천지촌로 1061,36.50687533,128.9941229,"쏘가리, 붕어, 잉어, 메기",휴업,2024-07-31
암반수낚시터,기타,경상북도 의성군 다인면 서부로 3018,36.46624748,128.3384845,붕어 등,"12시간당 30,000원",2024-11-15
매전낚시터,저수지,경상북도 청도군 매전면 온장길 142,35.637162,128.851936,"붕어, 잉어",1일 15000원,2024-12-09
대물낚시터,기타,경상북도 포항시 북구 기계면 봉좌로383번길 32-2,36.08236536,129.1615819,"붕어,메기","30,000원",2024-01-30
귀내낚시터,저수지,,36.837674,128.6173471,"붕어, 잉어","20,000원30,000원(장비 대여시)",2023-01-31
파지낚시터,저수지,"경상북도 영주시 장수면 장수로 827, 파지리낚시터",36.8021328,128.5475622,"붕어, 잉어","15,000원",2023-01-31
평은낚시터,저수지,경상북도 영주시 평은면 강동로410번길 24,36.71467002,128.6879693,"붕어, 잉어","30,000원",2023-01-31
바지선 선상낚시,바다,,33.24568966369,126.5775384632,청가시고기+넙치+자리돔 등,성인2시간(왕복선비 12000원 포함) 32000원,2024-07-22
낚고락고,바다,제주특별자치도 제주시 조천읍 조함해안로 247-2,33.5512632634,126.646943056,돌돔+넙치,20000원,2023-12-22
올레바당체험마을,바다,,33.4254371146,126.264092871,돌돔+넙치,12000원,2023-12-22
제일낚시터,평지,부산광역시 강서구 낙동북로73번가길 200-5 (강동동),35.22365536,128.940412,"붕어, 잉어","15,000원",2024-11-21
천성낚시터,바다,부산광역시 강서구 거가대로 2571 (천성동),35.02301425,128.8095884,해면어류,미정,2024-11-21
동선낚시터,바다,부산광역시 강서구 동선길 107 (동선동),35.05283693,128.8324001,해면어류,미정,2024-11-21
동삼어촌계 유어장 낚시터,바다,부산광역시 영도구 하리해안길 17-5,35.06978643,129.0812768,"도다리, 볼락류 등 기타해면어류","성인 25,000원, 어린이 15,000원  *낚시대 대어료 :5,000원",2024-07-10
대원관광농원,저수지,"부산광역시 기장군 기장읍 내리길 57, 대원관광농원",35.211047,129.2039,"잉어,붕어","10,000원",2023-05-02
이오피쉬,기타,"부산광역시 기장군 기장읍 대변로 153, 이오피쉬",35.2257,129.2288,"우럭, 참돔 등","70,000원",2023-05-02
용소사계절,저수지,"부산광역시 기장군 장안읍 기장대로 1665-73, 용소사계절",35.34273,129.24519,붕어,"10,000원",2023-05-02
부산실내바다낚시터,기타,"부산광역시 북구 효열로 275, 지하1층 (금곡동)",35.26720059,129.0183491,"바다랍스터,능성어,돌돔,참돔 등","30,000원",2024-07-01
어심바다낚시터,바다,"경기도 안산시 단원구 잘푸리길 109, 어심바다낚시터 (대부남동)",37.23606522264,126.5658309419,참돔+감성돔+우럭+도다리 등,1일 77000원,2023-12-06
해솔바다낚시터,바다,"경기도 안산시 단원구 구봉길 152, 해솔바다낚시터 (대부북동)",37.27837617475,126.5542115215,우럭+참돔+점성어+농어 등,"1일 70,000원",2023-12-06
우리실내낚시터,평지,"경기도 안산시 단원구 화랑로 28, 우리실내바다낚시터 지하1층 (원곡동)",37.33211660123,126.7960887311,잉어+향어+붕어+메기 등,"1일 30,000원",2023-12-06
k3바다낚시터,바다,"경기도 안산시 단원구 작은상재미길 86, k3바다낚시터 (대부동동)",37.25218005302,126.6139694374,우럭+참돔+농어+점성어등,"1일 77,000원",2023-12-06
등대바다낚시터,바다,"경기도 안산시 단원구 금당구지길 91, 등대바다낚시터 (대부남동)",37.23054271235,126.5905620978,우럭+점성어+농어+참동 등,"1일 77,000원",2023-12-06
북동낚시터,저수지,"경기도 안산시 단원구 뻐꾹산길 98, 북동낚시터 (대부북동)",37.25690318005,126.5810408128,붕어+잉어등,1일 30000,2023-12-06
조부장바다낚시터,바다,"경기도 안산시 단원구 구봉길 55, 조부장바다낚시터 (대부북동)",37.2713967648,126.5618898925,우럭+돔종류+광어+랍스터 등,"1일 70,000원+4시간 30,000",2023-12-06
대부도바다낚시터,바다,"경기도 안산시 단원구 구봉타운길 22, 대부도바다낚시터 (대부북동)",37.27772840717,126.5516876135,우럭+참돔+농어+점성어등,"1일 70,000원",2023-12-06
수암낚시터,저수지,"경기도 안산시 상록구 지장골길 51-18, 수암낚시터 (수암동)",37.37232030674,126.8808463725,향어+잉어+메기 등,"1일 30,000",2023-12-06
독도바다낚시터,바다,"경기도 안산시 단원구 새방죽길 165, 독도바다낚시터 (대부북동)",37.23985943104,126.5660485595,우럭+참돔+점성어+농어 등,"1일 75,000원",2023-12-06
하늘바다낚시터,바다,"경기도 안산시 단원구 작은상재미길 99, 하늘바다낚시터 (대부동동)",37.23338146276,126.6077971206,우럭+참돔+점성어+농어 등,"1일 70,000원",2023-12-06
못말낚시터,평지,경기도 양주시 남면 현석로 781-14,37.85149836,126.9821002,"붕어,잉어","25,000",2023-03-27
용암낚시터,저수지,,37.85284499,127.0500455,"붕어,잉어","20,000",2023-03-27
살구골낚시터,평지,,37.84001046,127.0042246,"붕어,잉어","25,000",2023-03-27
신암낚시터,저수지,경기도 양주시 남면 감악산로 514번길 365,37.91971034,126.9640752,"붕어,잉어","25,000",2023-03-27
남방낚시터,저수지,경기도 양주시 양주산성로 280-7,37.77576379,127.0180123,"붕어,잉어","25,000",2023-03-27
효촌낚시터,저수지,,37.87937325,126.9561064,"붕어,잉어","20,000",2023-03-27
봉암낚시터,저수지,경기도 양주시 남면 양연로173번길 82-28,37.9234617,126.994659,"붕어,잉어","25,000",2023-03-27
원당,저수지,,37.92235363,126.9869436,"붕어,잉어","25,000",2023-03-27
칠봉산,평지,경기도 양주시 천보산로 201,37.85687137,127.0985831,"붕어,잉어","30,000",2023-03-27
광사,평지,경기도 양주시 부흥로 1864-40,37.7885519,127.0709504,"붕어,잉어","20,000",2023-03-27
동산,저수지,경기도 양주시 남면 감악산로514번길 54-20,37.90829399,126.9653998,"붕어,잉어","20,000",2023-03-27
장자원,평지,경기도 양주시 장흥면 일영로502번길 2-105,37.68574374,126.9285218,"붕어,잉어","20,000",2023-03-27
은현피싱타운,평지,경기도 양주시 은현면 그루고개로490번길 49-27,37.85146262,127.0157938,"붕어,잉어","25,000",2023-03-27
삼하,평지,,37.67330775,126.9088062,"붕어,잉어","20,000",2023-03-27
송추,평지,경기도 양주시 장흥면 호국로 586-24,37.7177652,126.9792169,붕어,"15,000",2023-03-27
일영낚시터,평지,,37.70596996,126.9315963,"붕어,잉어","30,000",2023-03-27
자일낚시터,저수지,경기도 의정부시 호국로1860번길 79,37.77156,127.105302,잉어류,"20,000",2024-01-11
가자실내낚시터,기타,경기도 의정부시 시민로 117(의정부동),37.738678,127.04832,잉어류,"10,000(1시간기준)",2024-01-11
또또와 실내낚시카페,기타,경기도 의정부시 추동로19번길 7,37.743652,127.057607,잉어류+메기류,"10,000(1시간기준)",2024-01-11
부림낚시터(부림저수지),저수지,경기도 양평군 개군면 불곡덕고갯길 134-66,37.43924011,127.5477091,잉어+ 상어,30000,2024-07-23
수곡낚시터(어은저수지),저수지,경기도 양평군 지평면 어은길 71,37.44059045,127.5999993,붕어,30000,2024-07-23
월산낚시터(월산저수지),저수지,,37.47269801,127.6511908,상어+ 잉어+ 붕어,25000,2024-07-23
백동낚시터(백동저수지),저수지,,37.56063061,127.6867879,붕어,30000,2024-07-23
그린낚시터(전수저수지),저수지,경기도 양평군 강하면 수대길 110,37.48031275,127.4263199,붕어+ 잉어,25000,2024-07-23
신애낚시터,저수지,경기도 양평군 양평읍 새만이길 86,37.51020947,127.4959266,향어+ 잉어,20000,2024-07-23
오빈낚시터(오빈저수지),저수지,,37.50612798,127.4898977,붕어,30000,2024-07-23
대석낚시터(대석저수지),저수지,경기도 양평군 강상면 강남로 1811,37.4269477,127.4777729,붕어,30000,2024-07-23
향리낚시터(향리저수지),저수지,경기도 양평군 개군면 아랫상골길 45,37.43479102,127.5667369,붕어+ 잉어,30000,2024-07-23
세월낚시터,저수지,,37.44519278,127.4805659,붕어,30000,2024-07-23
대명낚시터,저수지,경기도 양평군 단월면 소부록길 35,37.56866935,127.6741137,상어+ 메기,30000,2024-07-23
피쉬랜드낚시터,저수지,경기도 양평군 강하면 강하2로 367,37.46486201,127.4205487,메기+ 철갑상어,30000,2024-07-23
고재낚시터,저수지,경기도 양평군 지평면 고재길 108,37.42743942,127.606234,붕어+ 메기+ 송어,30000,2024-07-23
이화,기타,,37.5947475379,126.7371851197,붕어+잉어+기타어류,"35,000원",2020-12-23
그린,기타,경기도 김포시 고촌읍 인향로210번길 52,37.5861328371,126.7550608557,붕어+잉어+기타어류,"35,000원",2020-12-23
대원,기타,,37.6919829289,126.5633697093,붕어+잉어+기타잡어,"20,000원",2020-12-23
구래,기타,경기도 김포시 양촌읍 김포한강8로 100-59,37.6299166031,126.639391458,향어+잉어+붕어+기타어류,"노지 : 10,000원, 하우스 : 15,000원",2020-12-23
태리,기타,,37.5967797632,126.7476293921,붕어+잉어+기타어류,"35,000원",2020-12-23
조강,저수지,,37.7452518301,126.5719274151,붕어+잉어+기타어류,"15,000원",2020-12-23
김포실내바다낚시터,기타,경기도 김포시 대곶면 대곶서로 283-25,37.6451473608,126.5806472144,우럭+참돔+농어+기타어류,"60,000원",2020-12-23
김포,기타,,37.7340104879,126.6223949611,붕어+잉어+기타어류,"30,000원",2020-12-23
고정,기타,경기도 김포시 통진읍 고척로 104,37.7174578072,126.5874015885,"붕어,잉어,기타어류","35,000원",2020-12-23
고막낚시터,저수지,경기도 김포시 월곶면 애기봉로 85-12,37.7218427868,126.5581979494,붕어+잉어+기타어류,"35,000원",2020-12-23
아리수,기타,,37.7491731842,126.6513077797,붕어+잉어+기타어류,15000원,2020-12-23
김포 피싱존,기타,경기도 김포시 양촌읍 석모로44번길 93,37.656371571,126.6470106368,우럭+참돔+농어+기타어류,"35,000원",2020-12-23
드림바다실내낚시터,기타,경기도 김포시 풍무로9번길 26,37.5975972857,126.7201016738,우럭+참돔+농어+기타어류,"30,000원",2020-12-23
놀러와실내낚시카페,평지,"경기도 안산시 상록구 샘골로 159, 창원빌딩 지하1층 2~3호 (본오동)",37.29806560072,126.8629480419,잉어+향어,"1시간 10,000원",2023-12-06
낚시존낚시카페,평지,"경기도 안산시 단원구 고잔로 76, 영풍빌딩 지하1층 37~41호 (고잔동)",37.3188909034,126.8348385401,잉어+향어,"1시간 5,000원",2023-12-06
꾼낚시카페,평지,"경기도 안산시 단원구 고잔2길 38, 중앙상가 지하층 1,2,3호 (고잔동)",37.31756622397,126.8353288839,민물고기,"1시간 10,000원",2023-12-06
밤밭,저수지,경기도 포천시 가산면 포천로 912번길 143-94,37.84250079,127.2136439,붕어,"30,000",2022-10-31
가산낚시터,저수지,경기도 포천시 가산면 우금길 13-32,37.82549928,127.2125165,붕어,"(노지)30,000+(1인 수상방갈로)50,000+(2인수상방갈로)100,000+(4인수상방갈로)170,000",2022-10-31
중리테마파크,저수지,경기도 포천시 관인면 지장산길 65,38.10167638,127.1992908,붕어,"(잔교좌대)30,000+(손맛터)20,000+(2인방갈로)평일100,000,주말120,000+(3인방갈로)평일120,000,주말150,000+(5인방갈로)평일180,000,주말230,000",2022-10-31
금주,저수지,경기도 포천시 영중면 물안길 135,37.97376415,127.2701662,붕어,"(2인방갈로)80,000+(4인방갈로)180,000+(6인방갈로)250,000+(8인방갈로)300,000",2022-10-31
지청,저수지,경기도 포천시 일동면 청지로 150-41,37.95845374,127.3300224,붕어,"30,000",2022-10-31
마전,저수지,경기도 포천시 가산면 마전길 129-1,37.84907203,127.2139254,붕어,"(육상방갈로,노지)30,000+(1인방갈로)50,000",2022-10-31
용담대물,저수지,경기도 포천시 관인면 사정리 384-3,38.13744071,127.2617286,붕어,"(2인방갈로)평일80,000,주말100,000+(6인방갈로)평일100,000,주말120,000",2022-10-31
직두리,저수지,경기도 포천시 군내면 진구자리1길 14,37.87725794,127.2300427,붕어,"(평일)20,000+(주말)30,000",2022-10-31
새마을,저수지,경기도 포천시 군내면 좌의길 79,37.86264904,127.2152827,붕어,"10,000",2022-10-31
무네미,저수지,경기도 포천시 군내면 유교리 88번길 43,37.86690636,127.1949493,붕어,"(노지)30,000+(1인방갈로)토제외40,000,토50,000+(2인방갈로)100,000+(4인방갈로)200,000",2022-10-31
내촌,저수지,경기도 포천시 내촌면 내진로 30번길 64,37.7872828,127.2235448,붕어,"10,000",2022-10-31
동교,저수지,경기도 포천시 동교동 670-3,37.85092126,127.1224802,붕어,"(2인방갈로)100,000+(3인방갈로)140,000+(4인방갈로)170,000",2022-10-31
