낚시터명,낚시터유형,소재지도로명주소,WGS84위도,WGS84경도,주요어종,이용요금,데이터기준일자
청풍낚시터,평지,전라남도 화순군 청풍면 차풍로 370,34.90460529,126.9802482,잉어+붕어+메기,20000,2024-08-13
앵남낚시터,평지,전라남도 화순군 화순읍 앵무동1길 132,35.05032669,126.924278,잉어+향어+메기,15000,2024-08-13
소경어촌계낚시터,바다,전라남도 여수시 소경도1길 15-1,34.70848891,127.707826,감성돔+농어+우럭+노래미,"5인200,000원",2023-04-06
돌산해양낚시공원낚시터,바다,전라남도 여수시 돌산읍 우두1길 12-13,34.727104,127.73669,볼락+감성돔+농어+노래미,"4인150,000원",2023-04-06
여수가족생활낚시터,바다,전라남도 여수시 신월1길 42 1층 신월슈퍼,34.4258515,127.4255849,도다리+감성돔+농어+노래미,"1인 30,000원 낚시대 대여(1개) 10,000원",2023-04-06
현대낚시터,바다,"전라남도 해남군 화원면 영호길 42-7, 민물과 바다",,,돔류,,2024-08-09
대광낚시터,바다,"전라남도 해남군 화원면 영호길 42-17, 대광낚시",,,돔류,,2024-08-09
목포바지선포인트선상,바다,"전라남도 해남군 화원면 영호길 42-7, 민물과 바다",,,돔류,,2024-08-09
해남별암낚시터,바다,"전라남도 해남군 화원면 영호길 42-7, 민물과 바다",,,돔류,,2024-08-09
현대바다낚시터,바다,"전라남도 해남군 화원면 영호길 42-7, 민물과 바다",,,돔류,,2024-08-09
해남화원낚시터,바다,"전라남도 해남군 화원면 영호길 42-7, 민물과 바다",,,돔류,,2024-08-09
대광낚시터 2호,바다,"전라남도 해남군 화원면 영호길 42-7, 민물과 바다",,,돔류,,2024-08-09
활주로낚시터,기타,"전라남도 나주시 산포면 등정덕례길 54, 활주로낚시터랜드",35.0467,126.8193,"붕어, 잉어","2시간 10,000원 (추가시 1시간 5,000원)",2024-07-19
콜낚시,바다,전라남도 신안군 압해읍 장감길 220,34.49603,126.193624,"돔, 장어 등","(평일)30,000원",2024-07-17
